#UPS-spectrum

#Date/time: 	2018-03-26__17-34-57


#AK pressure: 	8,69E-9 	mbar
#Pass energy: 	15.0 	eV
#Volt. bias: 	-15.0 	V
#Volt. lens: 	-15.0 	V
#Step width: 	20.0 	meV
#Counttime: 	200.0 	ms
#Vor: 	16.0 	V
#Nach: 	5.0 	V
#slope: 	0.613 	V/s
#offset: 	-48.850 	V


#Slope: 	72.7 	mV/s
#Counttime: 	200.0 	ms




#E_k 	 cps 	 Ana 	 Hemi 	 Hemo 	 EP 	 Mt + 	 + meas


17,613	000000	-17,664	-16,712	-18,359	14,949	205	12
17,598	000000	-17,645	-16,694	-18,341	14,953	221	12
17,585	000000	-17,620	-16,667	-18,316	14,965	223	11
17,556	000000	-17,602	-16,650	-18,297	14,954	220	11
17,539	000000	-17,583	-16,631	-18,279	14,956	204	10
17,516	000000	-17,564	-16,612	-18,260	14,952	205	11
17,498	000000	-17,546	-16,594	-18,241	14,952	205	10
17,479	000000	-17,527	-16,575	-18,222	14,951	205	10
17,455	000000	-17,502	-16,550	-18,197	14,952	221	12
17,439	000000	-17,484	-16,532	-18,179	14,955	218	11
17,457	000000	-17,467	-16,508	-18,160	14,990	207	10
17,446	000000	-17,449	-16,489	-18,142	14,998	207	10
17,428	000000	-17,430	-16,471	-18,123	14,998	223	11
17,407	000000	-17,411	-16,452	-18,104	14,996	205	10
17,383	000000	-17,386	-16,427	-18,079	14,997	205	10
17,366	000000	-17,367	-16,408	-18,060	14,999	224	11
17,347	000000	-17,349	-16,389	-18,042	14,998	204	10
17,293	000000	-17,330	-16,374	-18,023	14,963	207	10
17,264	000000	-17,311	-16,356	-18,004	14,953	206	10
17,264	000000	-17,292	-16,336	-17,985	14,972	206	10
17,226	000000	-17,267	-16,313	-17,961	14,959	217	11
17,205	000000	-17,249	-16,294	-17,942	14,956	206	10
17,188	000000	-17,231	-16,276	-17,924	14,957	221	11
17,167	000000	-17,212	-16,257	-17,905	14,955	221	11
17,152	000000	-17,194	-16,238	-17,886	14,958	223	11
17,129	000000	-17,175	-16,220	-17,867	14,954	207	10
17,110	000000	-17,150	-16,194	-17,843	14,960	204	10
