#UPS-spectrum

#Date/time: 	2018-03-26__17-17-50


#AK pressure: 	8,74E-9 	mbar
#Pass energy: 	15.0 	eV
#Volt. bias: 	-15.0 	V
#Volt. lens: 	-15.0 	V
#Step width: 	20.0 	meV
#Counttime: 	200.0 	ms
#Vor: 	16.0 	V
#Nach: 	5.0 	V
#slope: 	0.613 	V/s
#offset: 	-48.850 	V


#Slope: 	72.7 	mV/s
#Counttime: 	200.0 	ms




#E_k 	 cps 	 Ana 	 Hemi 	 Hemo 	 EP 	 Mt + 	 + meas


17,190	000000	-17,117	-16,152	-17,813	15,072	208	19
17,173	000000	-17,098	-16,134	-17,794	15,074	213	19
17,152	000000	-17,080	-16,115	-17,776	15,072	209	19
17,129	000000	-17,055	-16,090	-17,751	15,074	209	19
17,109	000000	-17,037	-16,072	-17,732	15,072	209	19
17,090	000000	-17,018	-16,053	-17,713	15,072	209	19
17,072	000000	-16,999	-16,034	-17,695	15,073	208	19
17,054	000000	-16,980	-16,015	-17,676	15,073	211	19
17,035	000000	-16,961	-15,996	-17,657	15,073	209	19
17,011	000000	-16,937	-15,972	-17,632	15,075	209	19
16,993	000000	-16,918	-15,953	-17,613	15,075	205	18
16,975	000000	-16,900	-15,934	-17,595	15,076	209	19
16,958	000000	-16,881	-15,915	-17,576	15,077	209	19
16,938	000000	-16,863	-15,897	-17,558	15,076	208	19
16,921	000000	-16,844	-15,878	-17,540	15,078	210	19
16,903	000000	-16,825	-15,859	-17,521	15,077	208	19
16,875	000000	-16,800	-15,835	-17,496	15,074	213	19
16,858	000000	-16,781	-15,816	-17,477	15,076	209	19
16,857	000000	-16,763	-15,797	-17,460	15,094	209	19
16,839	000000	-16,744	-15,779	-17,442	15,095	211	19
16,821	000000	-16,725	-15,759	-17,423	15,095	209	19
16,803	000000	-16,707	-15,741	-17,404	15,096	210	19
16,777	000000	-16,682	-15,716	-17,379	15,095	210	19
16,762	000000	-16,663	-15,697	-17,361	15,098	209	19
16,741	000000	-16,645	-15,679	-17,342	15,096	210	19
